GasDay;NG Demand DK MWh
2023-01-01 00:00:00+00:00;45069.885
2023-01-02 00:00:00+00:00;68576.548
2023-01-03 00:00:00+00:00;79426.712
2023-01-04 00:00:00+00:00;60675.27
2023-01-05 00:00:00+00:00;83403.497
2023-01-06 00:00:00+00:00;67141.594
2023-01-07 00:00:00+00:00;52883.536
2023-01-08 00:00:00+00:00;54009.908
2023-01-09 00:00:00+00:00;76696.296
2023-01-10 00:00:00+00:00;74401.511
2023-01-11 00:00:00+00:00;66142.131
2023-01-12 00:00:00+00:00;67367.599
2023-01-13 00:00:00+00:00;64826.235
2023-01-14 00:00:00+00:00;58658.123
2023-01-15 00:00:00+00:00;59906.661
2023-01-16 00:00:00+00:00;81301.027
2023-01-17 00:00:00+00:00;84787.108
2023-01-18 00:00:00+00:00;96494.814
2023-01-19 00:00:00+00:00;110790.141
2023-01-20 00:00:00+00:00;110217.346
2023-01-21 00:00:00+00:00;100754.425
2023-01-22 00:00:00+00:00;106144.153
2023-01-23 00:00:00+00:00;118547.519
2023-01-24 00:00:00+00:00;110662.666
2023-01-25 00:00:00+00:00;104022.302
2023-01-26 00:00:00+00:00;91754.921
2023-01-27 00:00:00+00:00;106227.662
2023-01-28 00:00:00+00:00;81300.261
2023-01-29 00:00:00+00:00;64615.05
2023-01-30 00:00:00+00:00;76440.872
2023-01-31 00:00:00+00:00;82017.449
2023-02-01 00:00:00+00:00;78151.96
2023-02-02 00:00:00+00:00;92271.581
2023-02-03 00:00:00+00:00;77603.374
2023-02-04 00:00:00+00:00;92045.948
2023-02-05 00:00:00+00:00;84335.902
2023-02-06 00:00:00+00:00;113680.888
2023-02-07 00:00:00+00:00;112385.345
2023-02-08 00:00:00+00:00;96375.935
2023-02-09 00:00:00+00:00;82405.532
2023-02-10 00:00:00+00:00;71935.609
2023-02-11 00:00:00+00:00;60695.917
2023-02-12 00:00:00+00:00;62634.571
2023-02-13 00:00:00+00:00;77904.219
2023-02-14 00:00:00+00:00;87332.1
2023-02-15 00:00:00+00:00;86145.68
2023-02-16 00:00:00+00:00;82620.266
2023-02-17 00:00:00+00:00;64181.919
2023-02-18 00:00:00+00:00;69816.187
2023-02-19 00:00:00+00:00;69247.598
2023-02-20 00:00:00+00:00;76866.585
2023-02-21 00:00:00+00:00;86931.4
2023-02-22 00:00:00+00:00;95492.632
2023-02-23 00:00:00+00:00;78180.551
2023-02-24 00:00:00+00:00;70064.909
2023-02-25 00:00:00+00:00;73543.79
2023-02-26 00:00:00+00:00;80179.268
2023-02-27 00:00:00+00:00;93186.181
2023-02-28 00:00:00+00:00;88801.919
2023-03-01 00:00:00+00:00;90943.807
2023-03-02 00:00:00+00:00;86784.988
2023-03-03 00:00:00+00:00;74897.706
2023-03-04 00:00:00+00:00;63895.258
2023-03-05 00:00:00+00:00;78982.073
2023-03-06 00:00:00+00:00;96555.249
2023-03-07 00:00:00+00:00;96285.058
2023-03-08 00:00:00+00:00;101851.123
2023-03-09 00:00:00+00:00;103887.89
2023-03-10 00:00:00+00:00;94287.405
2023-03-11 00:00:00+00:00;77519.469
2023-03-12 00:00:00+00:00;72320.984
2023-03-13 00:00:00+00:00;61916.218
2023-03-14 00:00:00+00:00;85189.027
2023-03-15 00:00:00+00:00;79566.585
2023-03-16 00:00:00+00:00;76381.023
2023-03-17 00:00:00+00:00;68135.235
2023-03-18 00:00:00+00:00;59898.157
2023-03-19 00:00:00+00:00;58774.146
2023-03-20 00:00:00+00:00;73035.805
2023-03-21 00:00:00+00:00;70729.808
2023-03-22 00:00:00+00:00;62123.905
2023-03-23 00:00:00+00:00;57380.419
2023-03-24 00:00:00+00:00;55266.39
2023-03-25 00:00:00+00:00;44344.154
2023-03-26 00:00:00+00:00;65087.458
2023-03-27 00:00:00+00:00;78624.493
2023-03-28 00:00:00+00:00;84268.031
2023-03-29 00:00:00+00:00;79646.097
2023-03-30 00:00:00+00:00;64973.202
2023-03-31 00:00:00+00:00;67255.266
2023-04-01 00:00:00+00:00;59183.255
2023-04-02 00:00:00+00:00;61426.271
2023-04-03 00:00:00+00:00;72881.88
2023-04-04 00:00:00+00:00;70872.325
2023-04-05 00:00:00+00:00;69157.53
2023-04-06 00:00:00+00:00;55828.949
2023-04-07 00:00:00+00:00;56484.037
2023-04-08 00:00:00+00:00;51341.135
2023-04-09 00:00:00+00:00;45469.45
2023-04-10 00:00:00+00:00;43674.514
2023-04-11 00:00:00+00:00;57457.265
2023-04-12 00:00:00+00:00;59426.676
2023-04-13 00:00:00+00:00;58105.922
2023-04-14 00:00:00+00:00;60120.72
