Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2022-10-10 00:00:00-07:00,2022-10-10 00:00:00-07:00,2022-10-10 01:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,74.09917,76.99415,0.0,-2.89498
2022-10-10 01:00:00-07:00,2022-10-10 01:00:00-07:00,2022-10-10 02:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,67.17475,69.84274,0.0,-2.66799
2022-10-10 02:00:00-07:00,2022-10-10 02:00:00-07:00,2022-10-10 03:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.27242,68.76159,0.0,-2.48917
2022-10-10 03:00:00-07:00,2022-10-10 03:00:00-07:00,2022-10-10 04:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.1984,68.55675,0.0,-2.35835
2022-10-10 04:00:00-07:00,2022-10-10 04:00:00-07:00,2022-10-10 05:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.38045,68.88797,0.0,-2.50752
2022-10-10 05:00:00-07:00,2022-10-10 05:00:00-07:00,2022-10-10 06:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,71.79957,74.58146,0.0,-2.78189
2022-10-10 06:00:00-07:00,2022-10-10 06:00:00-07:00,2022-10-10 07:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,82.50865,85.42153,0.0,-2.91287
2022-10-10 07:00:00-07:00,2022-10-10 07:00:00-07:00,2022-10-10 08:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,77.23029,80.39797,0.0,-3.16768
2022-10-10 08:00:00-07:00,2022-10-10 08:00:00-07:00,2022-10-10 09:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,59.55,63.04923,0.0,-3.49923
2022-10-10 09:00:00-07:00,2022-10-10 09:00:00-07:00,2022-10-10 10:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,52.74261,58.57429,-1.90135,-3.93033
2022-10-10 10:00:00-07:00,2022-10-10 10:00:00-07:00,2022-10-10 11:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,50.21264,56.93554,-2.70326,-4.01965
2022-10-10 11:00:00-07:00,2022-10-10 11:00:00-07:00,2022-10-10 12:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,50.14299,56.20145,-2.02881,-4.02964
2022-10-10 12:00:00-07:00,2022-10-10 12:00:00-07:00,2022-10-10 13:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,50.89507,57.01825,-1.99506,-4.12812
2022-10-10 13:00:00-07:00,2022-10-10 13:00:00-07:00,2022-10-10 14:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,53.97692,60.36756,-1.97174,-4.41891
2022-10-10 14:00:00-07:00,2022-10-10 14:00:00-07:00,2022-10-10 15:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,57.44656,64.12183,-2.06491,-4.61036
2022-10-10 15:00:00-07:00,2022-10-10 15:00:00-07:00,2022-10-10 16:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,60.83297,66.89484,-0.97786,-5.08401
2022-10-10 16:00:00-07:00,2022-10-10 16:00:00-07:00,2022-10-10 17:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,67.8298,73.30574,0.0,-5.47594
2022-10-10 17:00:00-07:00,2022-10-10 17:00:00-07:00,2022-10-10 18:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,86.47059,91.91176,0.0,-5.44118
2022-10-10 18:00:00-07:00,2022-10-10 18:00:00-07:00,2022-10-10 19:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,102.28919,107.72953,0.0,-5.44034
2022-10-10 19:00:00-07:00,2022-10-10 19:00:00-07:00,2022-10-10 20:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,90.34535,94.81094,0.0,-4.4656
2022-10-10 20:00:00-07:00,2022-10-10 20:00:00-07:00,2022-10-10 21:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,84.72,89.61552,-0.54917,-4.34635
2022-10-10 21:00:00-07:00,2022-10-10 21:00:00-07:00,2022-10-10 22:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,82.35512,86.14552,0.0,-3.7904
2022-10-10 22:00:00-07:00,2022-10-10 22:00:00-07:00,2022-10-10 23:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,79.46473,83.34878,0.0,-3.88405
2022-10-10 23:00:00-07:00,2022-10-10 23:00:00-07:00,2022-10-11 00:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,70.9466,74.27408,0.0,-3.32748
2022-10-11 00:00:00-07:00,2022-10-11 00:00:00-07:00,2022-10-11 01:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,68.00178,70.52664,0.0,-2.52485
2022-10-11 01:00:00-07:00,2022-10-11 01:00:00-07:00,2022-10-11 02:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.33286,68.68178,0.0,-2.34892
2022-10-11 02:00:00-07:00,2022-10-11 02:00:00-07:00,2022-10-11 03:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,65.2755,67.52405,0.0,-2.24855
2022-10-11 03:00:00-07:00,2022-10-11 03:00:00-07:00,2022-10-11 04:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,65.09091,67.34007,0.0,-2.24916
2022-10-11 04:00:00-07:00,2022-10-11 04:00:00-07:00,2022-10-11 05:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.30452,68.73071,0.0,-2.42619
2022-10-11 05:00:00-07:00,2022-10-11 05:00:00-07:00,2022-10-11 06:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,77.16797,79.98338,0.0,-2.81541
2022-10-11 06:00:00-07:00,2022-10-11 06:00:00-07:00,2022-10-11 07:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,91.78907,95.06895,0.0,-3.27988
2022-10-11 07:00:00-07:00,2022-10-11 07:00:00-07:00,2022-10-11 08:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,90.00879,94.86304,-1.09767,-3.75658
2022-10-11 08:00:00-07:00,2022-10-11 08:00:00-07:00,2022-10-11 09:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,64.55595,72.08457,-3.10263,-4.42599
2022-10-11 09:00:00-07:00,2022-10-11 09:00:00-07:00,2022-10-11 10:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,54.57471,66.3882,-7.12648,-4.68701
2022-10-11 10:00:00-07:00,2022-10-11 10:00:00-07:00,2022-10-11 11:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,49.85358,63.33186,-8.78539,-4.69289
2022-10-11 11:00:00-07:00,2022-10-11 11:00:00-07:00,2022-10-11 12:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,45.92812,60.42772,-9.77415,-4.72545
2022-10-11 12:00:00-07:00,2022-10-11 12:00:00-07:00,2022-10-11 13:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,48.63323,61.06129,-7.81182,-4.61623
2022-10-11 13:00:00-07:00,2022-10-11 13:00:00-07:00,2022-10-11 14:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,56.39943,65.56089,-4.03459,-5.12686
2022-10-11 14:00:00-07:00,2022-10-11 14:00:00-07:00,2022-10-11 15:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,60.05,69.27206,-3.72879,-5.49327
2022-10-11 15:00:00-07:00,2022-10-11 15:00:00-07:00,2022-10-11 16:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,66.96,73.82609,-1.32175,-5.54434
2022-10-11 16:00:00-07:00,2022-10-11 16:00:00-07:00,2022-10-11 17:00:00-07:00,DAY_AHEAD_HOURLY,TH_ZP26_GEN-APND,Trading Hub,76.44552,82.59916,0.0,-6.15364
