"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2019-05-01 00:00:00";7.3;7.6;7.2
"2019-05-01 01:00:00";7.4;7.6;7.2
"2019-05-01 02:00:00";7.5;7.7;7.3
"2019-05-01 03:00:00";7.6;7.8;7.5
"2019-05-01 04:00:00";7.6;7.8;7.4
"2019-05-01 05:00:00";7.6;7.8;7.5
"2019-05-01 06:00:00";7.7;8;7.5
"2019-05-01 07:00:00";8;8.2;7.8
"2019-05-01 08:00:00";8.1;8.4;7.9
"2019-05-01 09:00:00";8.2;8.4;8
"2019-05-01 10:00:00";8.4;8.6;8.1
"2019-05-01 11:00:00";8.4;8.6;8.2
"2019-05-01 12:00:00";8.5;8.9;8.1
"2019-05-01 13:00:00";8.5;9.1;8.2
"2019-05-01 14:00:00";8.9;9.3;8.6
"2019-05-01 15:00:00";8.9;9;8.7
"2019-05-01 16:00:00";8.6;9.1;8.3
"2019-05-01 17:00:00";8.3;8.6;8
"2019-05-01 18:00:00";8.1;8.3;7.9
"2019-05-01 19:00:00";8.1;8.3;7.8
"2019-05-01 20:00:00";8;8.2;7.8
"2019-05-01 21:00:00";8;8.2;7.9
"2019-05-01 22:00:00";7.8;8;7.6
"2019-05-01 23:00:00";7.8;8;7.6
"2019-05-02 00:00:00";7.9;8;7.7
"2019-05-02 01:00:00";7.8;8;7.6
"2019-05-02 02:00:00";7.6;7.7;7.4
"2019-05-02 03:00:00";7.1;7.5;6.8
"2019-05-02 04:00:00";6.9;7.2;6.7
"2019-05-02 05:00:00";7.1;7.3;6.6
"2019-05-02 06:00:00";7.1;7.7;6.5
"2019-05-02 07:00:00";7.6;8.3;7
"2019-05-02 08:00:00";8.7;9.3;8.2
"2019-05-02 09:00:00";8.8;9.2;8.4
"2019-05-02 10:00:00";9.8;10.6;8.6
"2019-05-02 11:00:00";10;10.5;9.4
"2019-05-02 12:00:00";9.8;10.5;8.9
"2019-05-02 13:00:00";9.5;10.1;9
"2019-05-02 14:00:00";9.3;9.8;8.7
"2019-05-02 15:00:00";8.8;9.8;8.1
"2019-05-02 16:00:00";8;8.6;7.3
"2019-05-02 17:00:00";7.5;8.2;7
"2019-05-02 18:00:00";6.8;7.3;6.4
"2019-05-02 19:00:00";6.2;6.6;6
"2019-05-02 20:00:00";5.9;6.2;5.6
"2019-05-02 21:00:00";5.7;6.1;5.5
"2019-05-02 22:00:00";5;5.6;4.2
"2019-05-02 23:00:00";4.3;4.6;3.8
"2019-05-03 00:00:00";4.5;4.7;4.3
"2019-05-03 01:00:00";4.5;4.8;4.2
"2019-05-03 02:00:00";4.2;4.6;3.9
"2019-05-03 03:00:00";3.7;4.1;3.6
"2019-05-03 04:00:00";3.7;3.9;3.5
"2019-05-03 05:00:00";4;4.6;3.6
"2019-05-03 06:00:00";5;5.8;4.2
"2019-05-03 07:00:00";6;6.6;5.6
"2019-05-03 08:00:00";6.5;7.2;5.9
"2019-05-03 09:00:00";6.1;6.7;5.1
"2019-05-03 10:00:00";6.8;7.4;5.1
"2019-05-03 11:00:00";6.5;7.7;4.3
"2019-05-03 12:00:00";6.1;8;3.3
"2019-05-03 13:00:00";5.5;6.9;3.3
"2019-05-03 14:00:00";5.2;6.6;3.9
"2019-05-03 15:00:00";4.7;5.7;3.7
"2019-05-03 16:00:00";5.5;6.1;4.5
"2019-05-03 17:00:00";4.3;6;2.6
"2019-05-03 18:00:00";2.7;3.4;1.1
"2019-05-03 19:00:00";1.5;3.3;0.7
"2019-05-03 20:00:00";3.4;4;2.7
"2019-05-03 21:00:00";2.8;3.2;2.5
"2019-05-03 22:00:00";2.5;3;1.9
"2019-05-03 23:00:00";2.4;3;1.8
"2019-05-04 00:00:00";2;2.3;1.8
"2019-05-04 01:00:00";2;2.3;1.7
"2019-05-04 02:00:00";1.9;2.8;1.3
"2019-05-04 03:00:00";2.5;2.9;2.2
"2019-05-04 04:00:00";2;2.3;1.5
"2019-05-04 05:00:00";1.5;2.4;0.2
"2019-05-04 06:00:00";0.5;1.5;0.1
"2019-05-04 07:00:00";3.1;4.9;1.4
"2019-05-04 08:00:00";5.2;6.1;4.6
"2019-05-04 09:00:00";6.2;6.8;5.4
"2019-05-04 10:00:00";6;6.9;5.4
"2019-05-04 11:00:00";6.1;7.2;5.2
"2019-05-04 12:00:00";6.8;7.5;6
"2019-05-04 13:00:00";7.1;7.9;6.3
"2019-05-04 14:00:00";7.3;7.8;6.4
"2019-05-04 15:00:00";7.5;8;6.5
"2019-05-04 16:00:00";7.6;7.9;7.1
"2019-05-04 17:00:00";7.9;8.2;7.4
"2019-05-04 18:00:00";7.6;7.9;7.3
"2019-05-04 19:00:00";6.5;7.3;5.5
"2019-05-04 20:00:00";4.9;5.5;4.4
"2019-05-04 21:00:00";4.2;4.7;3.8
"2019-05-04 22:00:00";3.4;4;3.1
"2019-05-04 23:00:00";3.3;3.6;3.1
"2019-05-05 00:00:00";2.9;3.2;2.5
"2019-05-05 01:00:00";2.7;2.9;2.5
"2019-05-05 02:00:00";2.4;2.7;2.1
"2019-05-05 03:00:00";2.8;3;2.2
"2019-05-05 04:00:00";2.3;2.6;2
"2019-05-05 05:00:00";2.9;3.5;2.1
"2019-05-05 06:00:00";5;6.2;3.3
"2019-05-05 07:00:00";6.6;7.3;6.2
"2019-05-05 08:00:00";7.3;7.8;6.7
"2019-05-05 09:00:00";7.6;8;7.1
"2019-05-05 10:00:00";8.1;8.5;7.6
"2019-05-05 11:00:00";8;8.8;7.5
"2019-05-05 12:00:00";8.3;9.4;7.8
"2019-05-05 13:00:00";8.8;9.8;8
"2019-05-05 14:00:00";8.2;9.3;7.5
"2019-05-05 15:00:00";8.4;8.9;8
"2019-05-05 16:00:00";8.1;9;6.9
"2019-05-05 17:00:00";7.6;8.3;6.8
"2019-05-05 18:00:00";7.2;7.4;6.9
"2019-05-05 19:00:00";6.6;6.9;6.5
"2019-05-05 20:00:00";6.1;6.7;5.2
"2019-05-05 21:00:00";5.3;5.5;5.1
"2019-05-05 22:00:00";5.2;5.5;4.6
"2019-05-05 23:00:00";4.2;4.5;3.8
"2019-05-06 00:00:00";4.3;4.7;3.9
"2019-05-06 01:00:00";4.3;4.5;4.1
"2019-05-06 02:00:00";3.7;4.4;3.3
"2019-05-06 03:00:00";3.5;3.7;3.2
"2019-05-06 04:00:00";2.7;3.2;2.4
"2019-05-06 05:00:00";3.2;3.7;2.7
"2019-05-06 06:00:00";3.9;5.1;3.1
"2019-05-06 07:00:00";5.1;5.8;3.5
"2019-05-06 08:00:00";3.5;4.7;2.3
"2019-05-06 09:00:00";5.4;7.3;2.5
"2019-05-06 10:00:00";6.5;7.7;5.1
"2019-05-06 11:00:00";6.4;7.8;4.7
"2019-05-06 12:00:00";7.2;7.9;4.4
"2019-05-06 13:00:00";6.5;7.8;4.2
"2019-05-06 14:00:00";7.2;8;6.3
"2019-05-06 15:00:00";7.2;7.9;5.9
"2019-05-06 16:00:00";7.1;7.6;6.7
"2019-05-06 17:00:00";7;7.7;6.5
"2019-05-06 18:00:00";6.2;6.9;5.9
"2019-05-06 19:00:00";5.9;6.2;5.3
"2019-05-06 20:00:00";5.1;5.4;4.7
"2019-05-06 21:00:00";4.7;4.9;4.5
"2019-05-06 22:00:00";4.5;4.8;4.1
"2019-05-06 23:00:00";4.1;4.5;3.7
