;SpotPrice EUR
2020-01-01 00:00:00;33.419998
2020-01-01 01:00:00;31.77
2020-01-01 02:00:00;31.57
2020-01-01 03:00:00;31.280001
2020-01-01 04:00:00;30.85
2020-01-01 05:00:00;30.139999
2020-01-01 06:00:00;30.17
2020-01-01 07:00:00;30.0
2020-01-01 08:00:00;30.629999
2020-01-01 09:00:00;30.59
2020-01-01 10:00:00;30.27
2020-01-01 11:00:00;30.34
2020-01-01 12:00:00;30.59
2020-01-01 13:00:00;30.040001
2020-01-01 14:00:00;30.6
2020-01-01 15:00:00;31.09
2020-01-01 16:00:00;31.530001
2020-01-01 17:00:00;31.780001
2020-01-01 18:00:00;31.639999
2020-01-01 19:00:00;31.440001
2020-01-01 20:00:00;31.35
2020-01-01 21:00:00;31.07
2020-01-01 22:00:00;30.959999
2020-01-01 23:00:00;30.610001
2020-01-02 00:00:00;30.780001
2020-01-02 01:00:00;30.639999
2020-01-02 02:00:00;30.43
2020-01-02 03:00:00;28.790001
2020-01-02 04:00:00;28.42
2020-01-02 05:00:00;28.75
2020-01-02 06:00:00;33.380001
2020-01-02 07:00:00;31.790001
2020-01-02 08:00:00;31.83
2020-01-02 09:00:00;31.74
2020-01-02 10:00:00;31.629999
2020-01-02 11:00:00;31.32
2020-01-02 12:00:00;31.07
2020-01-02 13:00:00;31.059999
2020-01-02 14:00:00;31.07
2020-01-02 15:00:00;31.26
2020-01-02 16:00:00;31.41
2020-01-02 17:00:00;31.4
2020-01-02 18:00:00;31.1
2020-01-02 19:00:00;30.75
2020-01-02 20:00:00;30.469999
2020-01-02 21:00:00;30.1
2020-01-02 22:00:00;29.709999
2020-01-02 23:00:00;24.99
2020-01-03 00:00:00;18.93
2020-01-03 01:00:00;9.98
2020-01-03 02:00:00;1.53
2020-01-03 03:00:00;0.14
2020-01-03 04:00:00;0.85
2020-01-03 05:00:00;9.92
2020-01-03 06:00:00;24.48
2020-01-03 07:00:00;26.68
2020-01-03 08:00:00;28.809999
2020-01-03 09:00:00;29.280001
2020-01-03 10:00:00;28.85
2020-01-03 11:00:00;31.799999
2020-01-03 12:00:00;30.389999
2020-01-03 13:00:00;30.24
2020-01-03 14:00:00;30.190001
2020-01-03 15:00:00;30.4
2020-01-03 16:00:00;30.48
2020-01-03 17:00:00;30.440001
2020-01-03 18:00:00;30.16
2020-01-03 19:00:00;29.83
2020-01-03 20:00:00;28.889999
2020-01-03 21:00:00;27.700001
2020-01-03 22:00:00;25.700001
2020-01-03 23:00:00;22.040001
2020-01-04 00:00:00;21.73
2020-01-04 01:00:00;15.95
2020-01-04 02:00:00;16.23
2020-01-04 03:00:00;6.45
2020-01-04 04:00:00;3.83
2020-01-04 05:00:00;0.12
2020-01-04 06:00:00;0.07
2020-01-04 07:00:00;19.07
2020-01-04 08:00:00;17.49
2020-01-04 09:00:00;23.98
2020-01-04 10:00:00;8.8
2020-01-04 11:00:00;17.950001
2020-01-04 12:00:00;19.5
2020-01-04 13:00:00;13.74
2020-01-04 14:00:00;17.42
2020-01-04 15:00:00;20.379999
2020-01-04 16:00:00;25.08
2020-01-04 17:00:00;28.879999
2020-01-04 18:00:00;32.02
2020-01-04 19:00:00;35.349998
2020-01-04 20:00:00;29.98
2020-01-04 21:00:00;30.049999
2020-01-04 22:00:00;30.09
2020-01-04 23:00:00;37.950001
2020-01-05 00:00:00;33.099998
2020-01-05 01:00:00;32.279999
2020-01-05 02:00:00;31.18
2020-01-05 03:00:00;30.1
2020-01-05 04:00:00;29.959999
2020-01-05 05:00:00;29.879999
2020-01-05 06:00:00;30.379999
2020-01-05 07:00:00;31.15
2020-01-05 08:00:00;32.09
2020-01-05 09:00:00;31.18
2020-01-05 10:00:00;31.6
2020-01-05 11:00:00;31.549999
2020-01-05 12:00:00;31.219999
2020-01-05 13:00:00;30.93
2020-01-05 14:00:00;30.67
2020-01-05 15:00:00;30.790001
2020-01-05 16:00:00;31.16
2020-01-05 17:00:00;31.530001
2020-01-05 18:00:00;31.1
2020-01-05 19:00:00;30.42
2020-01-05 20:00:00;29.870001
2020-01-05 21:00:00;29.610001
2020-01-05 22:00:00;29.459999
2020-01-05 23:00:00;26.68
2020-01-06 00:00:00;29.16
2020-01-06 01:00:00;29.0
2020-01-06 02:00:00;29.08
2020-01-06 03:00:00;27.719999
2020-01-06 04:00:00;27.030001
2020-01-06 05:00:00;27.620001
2020-01-06 06:00:00;33.18
2020-01-06 07:00:00;34.209999
2020-01-06 08:00:00;35.75
2020-01-06 09:00:00;32.52
2020-01-06 10:00:00;32.009998
2020-01-06 11:00:00;31.23
2020-01-06 12:00:00;31.190001
2020-01-06 13:00:00;31.08
2020-01-06 14:00:00;31.209999
2020-01-06 15:00:00;31.299999
2020-01-06 16:00:00;33.580002
2020-01-06 17:00:00;34.049999
2020-01-06 18:00:00;31.309999
2020-01-06 19:00:00;30.950001
2020-01-06 20:00:00;30.58
2020-01-06 21:00:00;30.280001
2020-01-06 22:00:00;29.459999
2020-01-06 23:00:00;29.07
2020-01-07 00:00:00;28.280001
2020-01-07 01:00:00;28.34
2020-01-07 02:00:00;28.469999
2020-01-07 03:00:00;28.110001
2020-01-07 04:00:00;28.700001
2020-01-07 05:00:00;28.799999
2020-01-07 06:00:00;30.620001
2020-01-07 07:00:00;37.599998
2020-01-07 08:00:00;46.990002
2020-01-07 09:00:00;47.07
2020-01-07 10:00:00;47.060001
2020-01-07 11:00:00;46.98
2020-01-07 12:00:00;42.029999
2020-01-07 13:00:00;42.369999
2020-01-07 14:00:00;33.049999
2020-01-07 15:00:00;30.84
2020-01-07 16:00:00;30.709999
2020-01-07 17:00:00;30.540001
2020-01-07 18:00:00;30.18
2020-01-07 19:00:00;29.459999
2020-01-07 20:00:00;28.629999
2020-01-07 21:00:00;27.98
2020-01-07 22:00:00;26.93
2020-01-07 23:00:00;24.209999
2020-01-08 00:00:00;18.950001
2020-01-08 01:00:00;4.96
2020-01-08 02:00:00;0.1
2020-01-08 03:00:00;0.11
2020-01-08 04:00:00;1.75
2020-01-08 05:00:00;20.74
2020-01-08 06:00:00;25.57
2020-01-08 07:00:00;26.99
2020-01-08 08:00:00;27.34
2020-01-08 09:00:00;27.92
2020-01-08 10:00:00;28.030001
2020-01-08 11:00:00;28.02
2020-01-08 12:00:00;28.0
2020-01-08 13:00:00;27.98
2020-01-08 14:00:00;28.059999
2020-01-08 15:00:00;28.440001
2020-01-08 16:00:00;28.879999
2020-01-08 17:00:00;39.07
2020-01-08 18:00:00;42.939999
2020-01-08 19:00:00;36.119999
2020-01-08 20:00:00;29.030001
2020-01-08 21:00:00;29.75
2020-01-08 22:00:00;29.879999
2020-01-08 23:00:00;27.93
2020-01-09 00:00:00;25.209999
2020-01-09 01:00:00;25.34
2020-01-09 02:00:00;27.74
2020-01-09 03:00:00;32.110001
2020-01-09 04:00:00;29.0
2020-01-09 05:00:00;28.1
2020-01-09 06:00:00;36.169998
2020-01-09 07:00:00;46.5
2020-01-09 08:00:00;47.849998
2020-01-09 09:00:00;45.68
2020-01-09 10:00:00;43.610001
2020-01-09 11:00:00;40.0
2020-01-09 12:00:00;36.169998
2020-01-09 13:00:00;32.639999
2020-01-09 14:00:00;31.43
2020-01-09 15:00:00;31.1
2020-01-09 16:00:00;32.59
2020-01-09 17:00:00;42.849998
2020-01-09 18:00:00;40.720001
2020-01-09 19:00:00;28.33
2020-01-09 20:00:00;27.639999
2020-01-09 21:00:00;27.549999
2020-01-09 22:00:00;26.9
2020-01-09 23:00:00;26.41
2020-01-10 00:00:00;26.07
2020-01-10 01:00:00;26.01
2020-01-10 02:00:00;25.809999
2020-01-10 03:00:00;25.889999
2020-01-10 04:00:00;26.200001
2020-01-10 05:00:00;26.950001
2020-01-10 06:00:00;28.950001
2020-01-10 07:00:00;43.290001
2020-01-10 08:00:00;47.400002
2020-01-10 09:00:00;40.630001
2020-01-10 10:00:00;36.259998
2020-01-10 11:00:00;32.049999
2020-01-10 12:00:00;28.639999
2020-01-10 13:00:00;28.450001
2020-01-10 14:00:00;28.23
2020-01-10 15:00:00;28.85
2020-01-10 16:00:00;35.549999
2020-01-10 17:00:00;43.919998
2020-01-10 18:00:00;45.610001
2020-01-10 19:00:00;30.01
