;DK_1_load_actual_entsoe_transparency MWh
2022-01-01 00:00:00+00:00;1897.57
2022-01-01 01:00:00+00:00;1837.71
2022-01-01 02:00:00+00:00;1778.86
2022-01-01 03:00:00+00:00;1726.38
2022-01-01 04:00:00+00:00;1709.62
2022-01-01 05:00:00+00:00;1716.39
2022-01-01 06:00:00+00:00;1765.16
2022-01-01 07:00:00+00:00;1819.6
2022-01-01 08:00:00+00:00;1883.09
2022-01-01 09:00:00+00:00;1943.14
2022-01-01 10:00:00+00:00;2042.52
2022-01-01 11:00:00+00:00;2101.28
2022-01-01 12:00:00+00:00;2150.81
2022-01-01 13:00:00+00:00;2174.23
2022-01-01 14:00:00+00:00;2189.14
2022-01-01 15:00:00+00:00;2134.93
2022-01-01 16:00:00+00:00;2413.6
2022-01-01 17:00:00+00:00;2512.13
2022-01-01 18:00:00+00:00;2525.69
2022-01-01 19:00:00+00:00;2411.7
2022-01-01 20:00:00+00:00;2300.07
2022-01-01 21:00:00+00:00;2145.01
2022-01-01 22:00:00+00:00;2012.26
2022-01-01 23:00:00+00:00;1854.04
2022-01-02 00:00:00+00:00;1747.56
2022-01-02 01:00:00+00:00;1693.84
2022-01-02 02:00:00+00:00;1657.63
2022-01-02 03:00:00+00:00;1672.75
2022-01-02 04:00:00+00:00;1739.06
2022-01-02 05:00:00+00:00;1853.39
2022-01-02 06:00:00+00:00;2207.44
2022-01-02 07:00:00+00:00;2532.5
2022-01-02 08:00:00+00:00;2736.0
2022-01-02 09:00:00+00:00;2797.13
2022-01-02 10:00:00+00:00;2763.3
2022-01-02 11:00:00+00:00;2769.56
2022-01-02 12:00:00+00:00;2655.95
2022-01-02 13:00:00+00:00;2664.64
2022-01-02 14:00:00+00:00;2619.98
2022-01-02 15:00:00+00:00;2624.01
2022-01-02 16:00:00+00:00;2763.81
2022-01-02 17:00:00+00:00;3045.33
2022-01-02 18:00:00+00:00;2938.26
2022-01-02 19:00:00+00:00;2731.37
2022-01-02 20:00:00+00:00;2536.5
2022-01-02 21:00:00+00:00;2368.95
2022-01-02 22:00:00+00:00;2199.93
2022-01-02 23:00:00+00:00;2053.51
2022-01-03 00:00:00+00:00;1977.11
2022-01-03 01:00:00+00:00;1910.27
2022-01-03 02:00:00+00:00;1908.56
2022-01-03 03:00:00+00:00;1934.03
2022-01-03 04:00:00+00:00;1987.13
2022-01-03 05:00:00+00:00;2098.96
2022-01-03 06:00:00+00:00;2439.1
2022-01-03 07:00:00+00:00;2858.27
2022-01-03 08:00:00+00:00;3003.16
2022-01-03 09:00:00+00:00;2974.87
2022-01-03 10:00:00+00:00;2984.93
2022-01-03 11:00:00+00:00;2970.56
2022-01-03 12:00:00+00:00;2908.27
2022-01-03 13:00:00+00:00;2922.77
2022-01-03 14:00:00+00:00;2870.74
2022-01-03 15:00:00+00:00;2830.57
2022-01-03 16:00:00+00:00;2963.69
2022-01-03 17:00:00+00:00;3216.2
2022-01-03 18:00:00+00:00;3054.94
2022-01-03 19:00:00+00:00;2844.2
2022-01-03 20:00:00+00:00;2647.35
2022-01-03 21:00:00+00:00;2475.12
2022-01-03 22:00:00+00:00;2303.09
2022-01-03 23:00:00+00:00;2102.73
2022-01-04 00:00:00+00:00;2004.23
2022-01-04 01:00:00+00:00;1950.31
2022-01-04 02:00:00+00:00;1901.45
2022-01-04 03:00:00+00:00;1940.39
2022-01-04 04:00:00+00:00;1991.73
2022-01-04 05:00:00+00:00;2156.39
2022-01-04 06:00:00+00:00;2459.42
2022-01-04 07:00:00+00:00;2868.04
2022-01-04 08:00:00+00:00;3017.62
2022-01-04 09:00:00+00:00;3002.34
2022-01-04 10:00:00+00:00;3048.78
2022-01-04 11:00:00+00:00;2994.27
2022-01-04 12:00:00+00:00;2848.79
2022-01-04 13:00:00+00:00;2828.78
2022-01-04 14:00:00+00:00;2735.7
2022-01-04 15:00:00+00:00;2691.53
2022-01-04 16:00:00+00:00;2823.89
2022-01-04 17:00:00+00:00;3000.6
2022-01-04 18:00:00+00:00;2870.51
2022-01-04 19:00:00+00:00;2635.03
2022-01-04 20:00:00+00:00;2466.1
2022-01-04 21:00:00+00:00;2282.99
2022-01-04 22:00:00+00:00;2173.85
2022-01-04 23:00:00+00:00;2031.73
2022-01-05 00:00:00+00:00;1934.59
2022-01-05 01:00:00+00:00;1815.5
2022-01-05 02:00:00+00:00;1788.93
2022-01-05 03:00:00+00:00;1857.65
2022-01-05 04:00:00+00:00;1808.0
2022-01-05 05:00:00+00:00;1821.12
2022-01-05 06:00:00+00:00;1904.32
2022-01-05 07:00:00+00:00;2071.87
2022-01-05 08:00:00+00:00;2240.2
2022-01-05 09:00:00+00:00;2306.59
2022-01-05 10:00:00+00:00;2338.83
2022-01-05 11:00:00+00:00;2299.41
2022-01-05 12:00:00+00:00;2235.91
2022-01-05 13:00:00+00:00;2218.0
2022-01-05 14:00:00+00:00;2235.12
2022-01-05 15:00:00+00:00;2268.99
2022-01-05 16:00:00+00:00;2451.52
2022-01-05 17:00:00+00:00;2728.71
2022-01-05 18:00:00+00:00;2648.93
2022-01-05 19:00:00+00:00;2446.95
2022-01-05 20:00:00+00:00;2293.21
2022-01-05 21:00:00+00:00;2164.56
2022-01-05 22:00:00+00:00;2005.65
2022-01-05 23:00:00+00:00;1897.69
2022-01-06 00:00:00+00:00;1823.16
2022-01-06 01:00:00+00:00;1765.83
2022-01-06 02:00:00+00:00;1740.58
2022-01-06 03:00:00+00:00;1729.3
2022-01-06 04:00:00+00:00;1746.65
2022-01-06 05:00:00+00:00;1765.27
2022-01-06 06:00:00+00:00;1814.08
2022-01-06 07:00:00+00:00;1961.34
2022-01-06 08:00:00+00:00;2135.65
2022-01-06 09:00:00+00:00;2264.41
2022-01-06 10:00:00+00:00;2342.7
2022-01-06 11:00:00+00:00;2365.75
2022-01-06 12:00:00+00:00;2336.99
2022-01-06 13:00:00+00:00;2319.74
2022-01-06 14:00:00+00:00;2316.33
2022-01-06 15:00:00+00:00;2346.53
2022-01-06 16:00:00+00:00;2519.57
2022-01-06 17:00:00+00:00;2779.9
2022-01-06 18:00:00+00:00;2709.54
2022-01-06 19:00:00+00:00;2496.48
2022-01-06 20:00:00+00:00;2289.17
2022-01-06 21:00:00+00:00;2201.03
2022-01-06 22:00:00+00:00;2052.78
2022-01-06 23:00:00+00:00;1887.78
2022-01-07 00:00:00+00:00;1825.56
2022-01-07 01:00:00+00:00;1813.27
2022-01-07 02:00:00+00:00;1789.15
2022-01-07 03:00:00+00:00;1809.87
2022-01-07 04:00:00+00:00;1849.62
2022-01-07 05:00:00+00:00;2005.05
2022-01-07 06:00:00+00:00;2364.45
2022-01-07 07:00:00+00:00;2861.05
2022-01-07 08:00:00+00:00;3014.14
2022-01-07 09:00:00+00:00;2978.64
2022-01-07 10:00:00+00:00;2998.91
2022-01-07 11:00:00+00:00;2973.33
2022-01-07 12:00:00+00:00;2928.82
2022-01-07 13:00:00+00:00;2968.09
2022-01-07 14:00:00+00:00;2925.6
2022-01-07 15:00:00+00:00;2846.74
2022-01-07 16:00:00+00:00;2944.04
2022-01-07 17:00:00+00:00;3140.46
2022-01-07 18:00:00+00:00;3004.25
2022-01-07 19:00:00+00:00;2795.75
2022-01-07 20:00:00+00:00;2626.11
2022-01-07 21:00:00+00:00;2510.01
2022-01-07 22:00:00+00:00;2330.68
2022-01-07 23:00:00+00:00;2096.79
2022-01-08 00:00:00+00:00;2106.74
2022-01-08 01:00:00+00:00;2058.47
2022-01-08 02:00:00+00:00;1922.42
2022-01-08 03:00:00+00:00;1948.56
2022-01-08 04:00:00+00:00;1996.35
2022-01-08 05:00:00+00:00;2140.08
2022-01-08 06:00:00+00:00;2476.7
2022-01-08 07:00:00+00:00;2868.68
2022-01-08 08:00:00+00:00;3009.11
2022-01-08 09:00:00+00:00;2989.53
2022-01-08 10:00:00+00:00;3009.2
2022-01-08 11:00:00+00:00;2972.7
2022-01-08 12:00:00+00:00;2924.58
2022-01-08 13:00:00+00:00;2974.56
2022-01-08 14:00:00+00:00;3002.93
2022-01-08 15:00:00+00:00;2914.93
2022-01-08 16:00:00+00:00;2950.36
2022-01-08 17:00:00+00:00;3178.32
2022-01-08 18:00:00+00:00;3020.72
2022-01-08 19:00:00+00:00;2907.86
2022-01-08 20:00:00+00:00;2703.33
2022-01-08 21:00:00+00:00;2585.08
2022-01-08 22:00:00+00:00;2450.61
2022-01-08 23:00:00+00:00;2276.67
2022-01-09 00:00:00+00:00;2188.39
2022-01-09 01:00:00+00:00;2110.49
2022-01-09 02:00:00+00:00;2072.3
2022-01-09 03:00:00+00:00;2070.41
2022-01-09 04:00:00+00:00;2029.36
2022-01-09 05:00:00+00:00;2258.16
2022-01-09 06:00:00+00:00;2547.76
2022-01-09 07:00:00+00:00;2935.62
2022-01-09 08:00:00+00:00;3072.78
2022-01-09 09:00:00+00:00;3032.89
2022-01-09 10:00:00+00:00;3053.12
2022-01-09 11:00:00+00:00;3001.71
2022-01-09 12:00:00+00:00;2930.96
2022-01-09 13:00:00+00:00;2945.3
2022-01-09 14:00:00+00:00;2909.35
2022-01-09 15:00:00+00:00;2826.69
2022-01-09 16:00:00+00:00;2923.74
2022-01-09 17:00:00+00:00;3148.6
2022-01-09 18:00:00+00:00;3013.87
2022-01-09 19:00:00+00:00;2849.84
2022-01-09 20:00:00+00:00;2641.39
2022-01-09 21:00:00+00:00;2491.47
2022-01-09 22:00:00+00:00;2285.33
2022-01-09 23:00:00+00:00;2128.85
2022-01-10 00:00:00+00:00;2069.42
2022-01-10 01:00:00+00:00;2019.17
2022-01-10 02:00:00+00:00;2002.18
2022-01-10 03:00:00+00:00;2007.46
2022-01-10 04:00:00+00:00;2073.46
2022-01-10 05:00:00+00:00;2210.4
2022-01-10 06:00:00+00:00;2582.28
2022-01-10 07:00:00+00:00;2991.4
2022-01-10 08:00:00+00:00;3133.98
2022-01-10 09:00:00+00:00;3106.65
2022-01-10 10:00:00+00:00;3148.72
2022-01-10 11:00:00+00:00;3133.16
2022-01-10 12:00:00+00:00;3051.41
2022-01-10 13:00:00+00:00;3079.32
2022-01-10 14:00:00+00:00;3028.85
2022-01-10 15:00:00+00:00;2959.13
2022-01-10 16:00:00+00:00;3057.98
2022-01-10 17:00:00+00:00;3244.48
2022-01-10 18:00:00+00:00;3094.68
2022-01-10 19:00:00+00:00;2878.01
2022-01-10 20:00:00+00:00;2674.53
2022-01-10 21:00:00+00:00;2516.69
2022-01-10 22:00:00+00:00;2303.12
2022-01-10 23:00:00+00:00;2094.78
2022-01-11 00:00:00+00:00;2013.45
2022-01-11 01:00:00+00:00;1993.56
2022-01-11 02:00:00+00:00;1963.37
2022-01-11 03:00:00+00:00;1958.57
2022-01-11 04:00:00+00:00;1996.34
2022-01-11 05:00:00+00:00;2094.22
2022-01-11 06:00:00+00:00;2514.65
2022-01-11 07:00:00+00:00;2893.1
2022-01-11 08:00:00+00:00;3055.75
2022-01-11 09:00:00+00:00;2970.65
2022-01-11 10:00:00+00:00;2977.94
2022-01-11 11:00:00+00:00;2918.44
2022-01-11 12:00:00+00:00;2821.32
2022-01-11 13:00:00+00:00;2679.75
2022-01-11 14:00:00+00:00;2599.46
2022-01-11 15:00:00+00:00;2623.23
2022-01-11 16:00:00+00:00;2762.66
2022-01-11 17:00:00+00:00;2977.91
2022-01-11 18:00:00+00:00;2849.3
2022-01-11 19:00:00+00:00;2628.47
2022-01-11 20:00:00+00:00;2444.9
2022-01-11 21:00:00+00:00;2294.16
2022-01-11 22:00:00+00:00;2169.57
2022-01-11 23:00:00+00:00;2019.66
2022-01-12 00:00:00+00:00;1939.74
2022-01-12 01:00:00+00:00;1856.96
2022-01-12 02:00:00+00:00;1823.11
2022-01-12 03:00:00+00:00;1822.09
2022-01-12 04:00:00+00:00;1824.52
2022-01-12 05:00:00+00:00;1849.55
2022-01-12 06:00:00+00:00;1952.29
2022-01-12 07:00:00+00:00;2158.62
2022-01-12 08:00:00+00:00;2337.34
2022-01-12 09:00:00+00:00;2394.76
2022-01-12 10:00:00+00:00;2468.48
2022-01-12 11:00:00+00:00;2513.62
2022-01-12 12:00:00+00:00;2525.31
2022-01-12 13:00:00+00:00;2452.62
2022-01-12 14:00:00+00:00;2454.62
2022-01-12 15:00:00+00:00;2449.61
2022-01-12 16:00:00+00:00;2588.72
2022-01-12 17:00:00+00:00;2833.14
2022-01-12 18:00:00+00:00;2673.11
2022-01-12 19:00:00+00:00;2464.43
2022-01-12 20:00:00+00:00;2314.46
2022-01-12 21:00:00+00:00;2175.77
2022-01-12 22:00:00+00:00;2134.11
2022-01-12 23:00:00+00:00;2011.79
2022-01-13 00:00:00+00:00;1891.01
2022-01-13 01:00:00+00:00;1783.86
2022-01-13 02:00:00+00:00;1748.84
2022-01-13 03:00:00+00:00;1752.82
2022-01-13 04:00:00+00:00;1791.38
2022-01-13 05:00:00+00:00;1889.23
2022-01-13 06:00:00+00:00;1876.3
2022-01-13 07:00:00+00:00;2049.09
2022-01-13 08:00:00+00:00;2246.62
2022-01-13 09:00:00+00:00;2355.86
2022-01-13 10:00:00+00:00;2477.94
2022-01-13 11:00:00+00:00;2499.16
2022-01-13 12:00:00+00:00;2490.42
2022-01-13 13:00:00+00:00;2459.25
2022-01-13 14:00:00+00:00;2414.49
2022-01-13 15:00:00+00:00;2457.33
2022-01-13 16:00:00+00:00;2594.65
2022-01-13 17:00:00+00:00;2815.76
2022-01-13 18:00:00+00:00;2744.86
2022-01-13 19:00:00+00:00;2590.7
2022-01-13 20:00:00+00:00;2464.01
2022-01-13 21:00:00+00:00;2339.49
2022-01-13 22:00:00+00:00;2196.7
2022-01-13 23:00:00+00:00;2068.1
2022-01-14 00:00:00+00:00;2002.04
2022-01-14 01:00:00+00:00;1994.22
2022-01-14 02:00:00+00:00;1961.55
2022-01-14 03:00:00+00:00;1978.53
2022-01-14 04:00:00+00:00;2058.42
2022-01-14 05:00:00+00:00;2229.2
2022-01-14 06:00:00+00:00;2530.12
2022-01-14 07:00:00+00:00;3009.98
2022-01-14 08:00:00+00:00;3114.34
2022-01-14 09:00:00+00:00;3095.23
2022-01-14 10:00:00+00:00;3079.45
2022-01-14 11:00:00+00:00;3010.58
2022-01-14 12:00:00+00:00;2957.66
2022-01-14 13:00:00+00:00;2954.26
2022-01-14 14:00:00+00:00;2886.26
2022-01-14 15:00:00+00:00;2860.08
2022-01-14 16:00:00+00:00;2981.59
2022-01-14 17:00:00+00:00;3241.5
2022-01-14 18:00:00+00:00;3121.72
2022-01-14 19:00:00+00:00;2944.88
2022-01-14 20:00:00+00:00;2762.17
2022-01-14 21:00:00+00:00;2599.68
2022-01-14 22:00:00+00:00;2384.83
2022-01-14 23:00:00+00:00;2201.74
2022-01-15 00:00:00+00:00;2111.77
2022-01-15 01:00:00+00:00;2048.42
2022-01-15 02:00:00+00:00;2016.89
2022-01-15 03:00:00+00:00;2051.32
2022-01-15 04:00:00+00:00;2114.51
2022-01-15 05:00:00+00:00;2211.98
2022-01-15 06:00:00+00:00;2572.7
2022-01-15 07:00:00+00:00;2990.59
2022-01-15 08:00:00+00:00;3117.97
2022-01-15 09:00:00+00:00;3158.15
2022-01-15 10:00:00+00:00;3193.71
2022-01-15 11:00:00+00:00;3139.15
2022-01-15 12:00:00+00:00;3053.01
2022-01-15 13:00:00+00:00;3043.21
2022-01-15 14:00:00+00:00;2981.26
2022-01-15 15:00:00+00:00;2889.8
2022-01-15 16:00:00+00:00;2935.06
2022-01-15 17:00:00+00:00;3159.36
2022-01-15 18:00:00+00:00;3057.48
2022-01-15 19:00:00+00:00;2853.36
2022-01-15 20:00:00+00:00;2656.94
2022-01-15 21:00:00+00:00;2477.75
2022-01-15 22:00:00+00:00;2293.06
2022-01-15 23:00:00+00:00;2147.96
2022-01-16 00:00:00+00:00;2070.69
2022-01-16 01:00:00+00:00;1999.95
2022-01-16 02:00:00+00:00;1963.1
2022-01-16 03:00:00+00:00;1976.68
2022-01-16 04:00:00+00:00;2010.23
2022-01-16 05:00:00+00:00;2137.42
2022-01-16 06:00:00+00:00;2525.49
2022-01-16 07:00:00+00:00;2919.67
2022-01-16 08:00:00+00:00;3036.19
2022-01-16 09:00:00+00:00;3003.88
2022-01-16 10:00:00+00:00;3033.6
2022-01-16 11:00:00+00:00;3028.51
2022-01-16 12:00:00+00:00;2976.42
2022-01-16 13:00:00+00:00;3009.38
2022-01-16 14:00:00+00:00;2985.94
2022-01-16 15:00:00+00:00;2907.95
2022-01-16 16:00:00+00:00;2987.53
2022-01-16 17:00:00+00:00;3163.16
2022-01-16 18:00:00+00:00;3028.69
