Purchase and sale of balancing gas (Validated)
Gasmonth: JUNE 2019
 
Delivery date;Gaspoint Nordic spot index EUR/MWh;Gaspoint Nordic within day EUR/MWh;Neutral gas price EUR/MWh;Exchange rate EUR/DKK;Neutral gas price DKK/kWh;Energinet Purchase price step 1 DKK/kWh;Energinet Purchase price step 2 DKK/kWh;Energinet Marginal purchase price DKK/kWh;Energinet Sales price step 1 DKK/KWh;Energinet Sales price step 2 DKK/kWh;Energinet Marginal sales price DKK/kWh;Energinet Sales price at GPN (lowest price of sale) in EUR/MWh;Energinet Purchase price at GPN (highest price of purchase) in EUR/MWh;SCB;Energinet Purchase price DKK/kWh;Energinet Sales price DKK/kWh;GPL price DKK/kWh;NCG price DKK/kWh;Energinet Force majeure sales price (DK Zone) DKK/kWh;Energinet Sales price emergency step 1 (excl. DK zone) DKK/kWh;Energinet Sales price emergency step 2 (excl. DK zone) DKK/kWh
01-06-2019;9.130;9.130;9.130;746.87;0.0682;0.0678;0.0648;;0.0685;0.0716;;;;Green Zone;0.0678;0.0685;0.0753;0.0777;0.1150;0.1153;0.1184
02-06-2019;9.130;9.250;9.250;746.87;0.0691;0.0687;0.0656;;0.0694;0.0725;;;;Green Zone;0.0687;0.0694;0.0753;0.0777;0.1150;0.1153;0.1185
03-06-2019;9.190;9.190;9.190;746.80;0.0686;0.0683;0.0652;;0.0690;0.0721;;;;Green Zone;0.0683;0.0690;0.0756;0.0792;0.1150;0.1153;0.1184
04-06-2019;9.156;9.156;9.156;746.79;0.0684;0.0680;0.0650;;0.0687;0.0718;;;;Green Zone;0.0680;0.0687;0.0765;0.0773;0.1150;0.1153;0.1184
05-06-2019;9.416;12.154;12.154;746.79;0.0908;0.0903;0.0862;;0.0912;0.0953;0.0945;;12.650;Green Zone;0.0903;0.0945;0.0800;0.0797;0.1150;0.1155;0.1195
06-06-2019;10.243;10.243;10.243;746.87;0.0765;0.0761;0.0727;;0.0769;0.0803;;;;Green Zone;0.0761;0.0769;0.0829;0.0839;0.1150;0.1154;0.1188
07-06-2019;9.797;10.450;10.450;746.80;0.0780;0.0777;0.0741;;0.0784;0.0819;;;;Green Zone;0.0777;0.0784;0.0801;0.0811;0.1150;0.1154;0.1189
08-06-2019;9.927;9.927;9.927;746.80;0.0741;0.0738;0.0704;;0.0745;0.0778;;;;Green Zone;0.0738;0.0745;0.0796;0.0812;0.1150;0.1154;0.1187
09-06-2019;9.927;10.147;10.147;746.80;0.0758;0.0754;0.0720;;0.0762;0.0796;;;;Green Zone;0.0754;0.0762;0.0796;0.0812;0.1150;0.1154;0.1188
10-06-2019;9.912;9.912;9.912;746.80;0.0740;0.0736;0.0703;;0.0744;0.0777;;;;Green Zone;0.0736;0.0744;0.0800;0.0813;0.1150;0.1154;0.1187
11-06-2019;10.308;10.308;10.308;746.87;0.0770;0.0766;0.0731;;0.0774;0.0808;;;;Green Zone;0.0766;0.0774;0.0853;0.0872;0.1150;0.1154;0.1189
