Purchase and sale of balancing gas (Validated)
Gasmonth: OCTOBER 2019
 
Delivery date;Gaspoint Nordic spot index EUR/MWh;Gaspoint Nordic within day EUR/MWh;Neutral gas price EUR/MWh;Exchange rate EUR/DKK;Neutral gas price DKK/kWh;Energinet Purchase price step 1 DKK/kWh;Energinet Purchase price step 2 DKK/kWh;Energinet Marginal purchase price DKK/kWh;Energinet Sales price step 1 DKK/KWh;Energinet Sales price step 2 DKK/kWh;Energinet Marginal sales price DKK/kWh;Energinet Sales price at GPN (lowest price of sale) in EUR/MWh;Energinet Purchase price at GPN (highest price of purchase) in EUR/MWh;SCB;Energinet Purchase price DKK/kWh;Energinet Sales price DKK/kWh;GPL price DKK/kWh;NCG price DKK/kWh;Energinet Force majeure sales price (DK Zone) DKK/kWh;Energinet Sales price emergency step 1 (excl. DK zone) DKK/kWh;Energinet Sales price emergency step 2 (excl. DK zone) DKK/kWh
01-10-2019;9.824;9.955;9.955;746.55;0.0743;0.0739;0.0699;;0.0747;0.0788;;;;Green Zone;0.0739;0.0747;0.0677;0.0702;0.1150;0.1154;0.1187
02-10-2019;9.659;9.659;9.659;746.65;0.0721;0.0718;0.0678;;0.0725;0.0764;;;;Green Zone;0.0718;0.0725;0.0687;0.0724;0.1150;0.1154;0.1186
03-10-2019;10.605;10.605;10.605;746.56;0.0792;0.0788;0.0744;;0.0796;0.0839;;;;Yellow Zone;0.0788;0.0839;0.0733;0.0764;0.1150;0.1154;0.1190
04-10-2019;12.130;13.998;13.998;746.66;0.1045;0.1040;0.0982;;0.1050;0.1108;0.1099;;14.725;Green Zone;0.1040;0.1099;0.0847;0.0877;0.1150;0.1155;0.1202
05-10-2019;13.162;13.350;13.350;746.66;0.0997;0.0992;0.0937;;0.1002;0.1057;;;;Green Zone;0.0992;0.1002;0.0872;0.0885;0.1150;0.1155;0.1200
06-10-2019;13.162;12.774;12.774;746.66;0.0954;0.0949;0.0897;;0.0959;0.1011;;;;Green Zone;0.0949;0.0959;0.0872;0.0885;0.1150;0.1155;0.1198
07-10-2019;13.234;12.374;12.374;746.79;0.0924;0.0919;0.0869;;0.0929;0.0979;0.0929;;12.400;Green Zone;0.0919;0.0929;0.0902;0.0924;0.1150;0.1155;0.1196
08-10-2019;11.683;11.100;11.100;746.89;0.0829;0.0825;0.0779;;0.0833;0.0879;;;;Green Zone;0.0825;0.0833;0.0784;0.0812;0.1150;0.1154;0.1191
09-10-2019;11.350;9.807;9.807;746.91;0.0732;0.0729;0.0689;0.0711;0.0736;0.0776;;9.525;;Green Zone;0.0711;0.0736;0.0751;0.0768;0.1150;0.1154;0.1187
10-10-2019;10.192;10.192;10.192;746.84;0.0761;0.0757;0.0715;;0.0765;0.0807;;;;Yellow Zone;0.0715;0.0765;0.0668;0.0686;0.1150;0.1154;0.1188
