Purchase and sale of balancing gas (Validated)
Gasmonth: DECEMBER 2019
 
Delivery date;Gaspoint Nordic spot index EUR/MWh;Gaspoint Nordic within day EUR/MWh;Neutral gas price EUR/MWh;Exchange rate EUR/DKK;Neutral gas price DKK/kWh;Energinet Purchase price step 1 DKK/kWh;Energinet Purchase price step 2 DKK/kWh;Energinet Marginal purchase price DKK/kWh;Energinet Sales price step 1 DKK/KWh;Energinet Sales price step 2 DKK/kWh;Energinet Marginal sales price DKK/kWh;Energinet Sales price at GPN (lowest price of sale) in EUR/MWh;Energinet Purchase price at GPN (highest price of purchase) in EUR/MWh;SCB;Energinet Purchase price DKK/kWh;Energinet Sales price DKK/kWh;GPL price DKK/kWh;NCG price DKK/kWh;Energinet Force majeure sales price (DK Zone) DKK/kWh;Energinet Sales price emergency step 1 (excl. DK zone) DKK/kWh;Energinet Sales price emergency step 2 (excl. DK zone) DKK/kWh
01-12-2019;16.780;17.100;17.100;747.13;0.1278;0.1271;0.1201;;0.1284;0.1354;;;;Green Zone;0.1271;0.1284;0.1207;0.1203;0.1302;0.1308;0.1366
02-12-2019;16.968;17.500;17.500;747.12;0.1307;0.1301;0.1229;;0.1314;0.1386;;;;Green Zone;0.1301;0.1314;0.1217;0.1218;0.1307;0.1314;0.1372
03-12-2019;16.863;16.863;16.863;747.19;0.1260;0.1254;0.1184;;0.1266;0.1336;;;;Green Zone;0.1254;0.1266;0.1203;0.1204;0.1307;0.1313;0.1370
04-12-2019;16.536;16.536;16.536;747.15;0.1235;0.1229;0.1161;;0.1242;0.1310;;;;Yellow Zone;0.1161;0.1242;0.1184;0.1186;0.1307;0.1313;0.1369
05-12-2019;16.205;16.205;16.205;747.16;0.1211;0.1205;0.1138;;0.1217;0.1283;;;;Green Zone;0.1205;0.1217;0.1154;0.1159;0.1307;0.1313;0.1368
06-12-2019;15.627;15.627;15.627;747.22;0.1168;0.1162;0.1098;;0.1174;0.1238;;;;Yellow Zone;0.1098;0.1174;0.1126;0.1128;0.1307;0.1313;0.1365
07-12-2019;14.155;13.598;13.598;747.22;0.1016;0.1011;0.0955;0.1009;0.1021;0.1077;;13.500;;Green Zone;0.1009;0.1021;0.1053;0.1054;0.1307;0.1312;0.1358
08-12-2019;14.155;13.476;13.476;747.22;0.1007;0.1002;0.0947;;0.1012;0.1067;;;;Yellow Zone;0.0947;0.1012;0.1053;0.1054;0.1307;0.1312;0.1357
09-12-2019;14.470;14.470;14.470;747.23;0.1081;0.1076;0.1016;;0.1087;0.1146;;;;Green Zone;0.1076;0.1087;0.1063;0.1063;0.1307;0.1312;0.1361
10-12-2019;14.565;15.000;15.000;747.31;0.1121;0.1115;0.1054;;0.1127;0.1188;;;;Green Zone;0.1115;0.1127;0.1057;0.1056;0.1307;0.1313;0.1363
11-12-2019;14.347;14.347;14.347;747.28;0.1072;0.1067;0.1008;;0.1078;0.1136;;;;Green Zone;0.1067;0.1078;0.1041;0.1044;0.1307;0.1312;0.1361
12-12-2019;14.514;14.514;14.514;747.32;0.1085;0.1079;0.1020;;0.1090;0.1150;;;;Green Zone;0.1079;0.1090;0.1052;0.1050;0.1307;0.1312;0.1361
13-12-2019;14.559;14.155;14.155;747.31;0.1058;0.1053;0.0994;;0.1063;0.1121;;;;Green Zone;0.1053;0.1063;0.1051;0.1051;0.1307;0.1312;0.1360
14-12-2019;13.940;14.000;14.000;747.31;0.1046;0.1041;0.0983;;0.1051;0.1109;;;;Green Zone;0.1041;0.1051;0.1006;0.1005;0.1307;0.1312;0.1359
15-12-2019;13.940;13.940;13.940;747.31;0.1042;0.1037;0.0979;;0.1047;0.1104;;;;Green Zone;0.1037;0.1047;0.1006;0.1005;0.1307;0.1312;0.1359
16-12-2019;14.113;14.113;14.113;747.31;0.1055;0.1049;0.0991;;0.1060;0.1118;;;;Green Zone;0.1049;0.1060;0.1014;0.1012;0.1307;0.1312;0.1360
17-12-2019;13.670;13.670;13.670;747.31;0.1022;0.1016;0.0960;;0.1027;0.1083;;;;Yellow Zone;0.0960;0.1027;0.0967;0.0964;0.1307;0.1312;0.1358
18-12-2019;13.119;13.119;13.119;747.20;0.0980;0.0975;0.0921;;0.0985;0.1039;;;;Green Zone;0.0975;0.0985;0.0971;0.0977;0.1307;0.1312;0.1356
19-12-2019;13.173;13.173;13.173;747.23;0.0984;0.0979;0.0925;;0.0989;0.1043;;;;Green Zone;0.0979;0.0989;0.0966;0.0971;0.1307;0.1312;0.1356
20-12-2019;13.301;13.300;13.300;747.20;0.0994;0.0989;0.0934;;0.0999;0.1053;;;;Green Zone;0.0989;0.0999;0.0968;0.0969;0.1307;0.1312;0.1357
21-12-2019;12.669;12.669;12.669;747.20;0.0947;0.0942;0.0890;;0.0951;0.1003;;;;Green Zone;0.0942;0.0951;0.0932;0.0940;0.1307;0.1312;0.1354
22-12-2019;12.669;12.669;12.669;747.20;0.0947;0.0942;0.0890;;0.0951;0.1003;;;;Green Zone;0.0942;0.0951;0.0932;0.0940;0.1307;0.1312;0.1354
23-12-2019;12.741;12.741;12.741;747.19;0.0952;0.0947;0.0895;;0.0957;0.1009;;;;Yellow Zone;0.0895;0.0957;0.0943;0.0952;0.1307;0.1312;0.1355
24-12-2019;12.451;12.451;12.451;747.19;0.0930;0.0926;0.0875;;0.0935;0.0986;;;;Yellow Zone;0.0875;0.0935;0.0867;0.0882;0.1307;0.1312;0.1354
25-12-2019;10.932;10.566;10.566;747.19;0.0789;0.0786;0.0742;;0.0793;0.0837;;;;Green Zone;0.0786;0.0793;0.0801;0.0816;0.1307;0.1311;0.1346
26-12-2019;10.938;11.018;11.018;747.19;0.0823;0.0819;0.0774;;0.0827;0.0873;;;;Green Zone;0.0819;0.0827;0.0800;0.0827;0.1307;0.1311;0.1348
27-12-2019;11.042;13.074;13.074;747.04;0.0977;0.0972;0.0918;;0.0982;0.1035;0.0997;;13.350;Green Zone;0.0972;0.0997;0.0811;0.0831;0.1307;0.1312;0.1356
28-12-2019;12.537;13.614;13.614;747.04;0.1017;0.1012;0.0956;;0.1022;0.1078;0.1051;;14.075;Green Zone;0.1012;0.1051;0.0914;0.0924;0.1307;0.1312;0.1358
29-12-2019;12.537;12.975;12.975;747.04;0.0969;0.0964;0.0911;;0.0974;0.1027;;;;Green Zone;0.0964;0.0974;0.0914;0.0924;0.1307;0.1312;0.1355
30-12-2019;12.485;12.485;12.485;746.97;0.0933;0.0928;0.0877;;0.0937;0.0989;;;;Green Zone;0.0928;0.0937;0.0913;0.0927;0.1307;0.1312;0.1354
31-12-2019;13.498;13.498;13.498;746.97;0.1008;0.1003;0.0948;;0.1013;0.1069;;;;Green Zone;0.1003;0.1013;0.0968;0.0962;0.1307;0.1312;0.1357
