GasDay;NG Demand DK MWh
2023-01-01;45069.885
2023-01-02;68576.548
2023-01-03;79426.712
2023-01-04;60675.27
2023-01-05;83403.497
2023-01-06;67141.594
2023-01-07;52883.536
2023-01-08;54009.908
2023-01-09;76696.296
2023-01-10;74401.511
2023-01-11;66142.131
2023-01-12;67367.599
2023-01-13;64826.235
2023-01-14;58658.123
2023-01-15;59906.661
2023-01-16;81301.027
2023-01-17;84787.108
2023-01-18;96494.814
2023-01-19;110790.141
2023-01-20;110217.346
2023-01-21;100754.425
2023-01-22;106144.153
2023-01-23;118547.519
2023-01-24;110662.666
2023-01-25;104022.302
2023-01-26;91754.921
2023-01-27;106227.662
2023-01-28;81300.261
2023-01-29;64615.05
2023-01-30;76440.872
2023-01-31;82017.449
2023-02-01;78151.96
2023-02-02;92271.581
2023-02-03;77603.374
2023-02-04;92045.948
2023-02-05;84335.902
2023-02-06;113680.888
2023-02-07;112385.345
2023-02-08;96375.935
2023-02-09;82405.532
2023-02-10;71935.609
2023-02-11;60695.917
2023-02-12;62634.571
2023-02-13;77904.219
2023-02-14;87332.1
2023-02-15;86145.68
2023-02-16;82620.266
2023-02-17;64181.919
2023-02-18;69816.187
2023-02-19;69247.598
2023-02-20;76866.585
2023-02-21;86931.4
2023-02-22;95492.632
2023-02-23;78180.551
2023-02-24;70064.909
2023-02-25;73543.79
2023-02-26;80179.268
2023-02-27;93186.181
2023-02-28;88801.919
2023-03-01;90943.807
2023-03-02;86784.988
2023-03-03;74897.706
2023-03-04;63895.258
2023-03-05;78982.073
2023-03-06;96555.249
2023-03-07;96285.058
2023-03-08;101851.123
2023-03-09;103887.89
2023-03-10;94287.405
2023-03-11;77519.469
2023-03-12;72320.984
2023-03-13;61916.218
2023-03-14;85189.027
2023-03-15;79566.585
2023-03-16;76381.023
2023-03-17;68135.235
2023-03-18;59898.157
2023-03-19;58774.146
2023-03-20;73035.805
2023-03-21;70729.808
2023-03-22;62123.905
2023-03-23;57380.419
2023-03-24;55266.39
2023-03-25;44344.154
2023-03-26;65087.458
2023-03-27;78624.493
2023-03-28;84268.031
2023-03-29;79646.097
2023-03-30;64973.202
2023-03-31;67255.266
2023-04-01;59183.255
2023-04-02;61426.271
2023-04-03;72881.88
2023-04-04;70872.325
2023-04-05;69157.53
2023-04-06;55828.949
2023-04-07;56484.037
2023-04-08;51341.135
2023-04-09;45469.45
2023-04-10;43674.514
2023-04-11;57457.265
2023-04-12;59426.676
2023-04-13;58105.922
2023-04-14;60120.72
2023-04-15;46302.535
2023-04-16;51119.441
2023-04-17;58125.53
2023-04-18;51697.91
2023-04-19;47908.823
2023-04-20;46101.359
2023-04-21;40539.451
2023-04-22;33502.291
2023-04-23;37626.487
2023-04-24;50674.686
2023-04-25;58611.201
2023-04-26;60425.692
2023-04-27;60017.779
2023-04-28;56358.763
2023-04-29;42175.404
2023-04-30;43009.025
2023-05-01;44067.843
2023-05-02;55196.619
2023-05-03;60228.166
2023-05-04;51779.245
2023-05-05;45136.056
2023-05-06;47934.43
2023-05-07;41028.65
2023-05-08;44781.877
2023-05-09;43775.718
2023-05-10;45565.281
2023-05-11;42428.12
2023-05-12;36423.16
2023-05-13;28654.743
2023-05-14;29381.651
2023-05-15;36191.62
2023-05-16;41690.031
2023-05-17;42610.414
2023-05-18;35429.567
2023-05-19;31695.888
2023-05-20;27217.413
2023-05-21;26388.208
2023-05-22;36114.989
2023-05-23;39675.799
2023-05-24;39844.295
2023-05-25;41377.031
2023-05-26;36711.803
2023-05-27;28735.044
2023-05-28;26326.245
2023-05-29;29191.267
2023-05-30;36393.666
2023-05-31;35946.212
2023-06-01;43826.118
2023-06-02;41456.185
2023-06-03;32373.381
2023-06-04;38778.983
2023-06-05;45072.521
2023-06-06;48374.41
2023-06-07;50351.532
2023-06-08;47757.81
2023-06-09;43539.912
2023-06-10;31085.645
2023-06-11;27247.049
2023-06-12;34070.348
2023-06-13;32567.643
2023-06-14;34152.299
2023-06-15;33083.469
